svg,agent0_moves,agent1_moves,agent0_efficiency,agent1_efficiency,any_deadlock,both_deadlock,potential_collision,yielding_pattern
exp6_Minimax-size6-d0.25-map0.svg,0,0,0.0,0.0,True,True,False,False
exp6_Minimax-size6-d0.25-map1.svg,0,0,0.0,0.0,True,True,False,False
exp6_Minimax-size6-d0.25-map2.svg,1,0,1.0,0.0,True,False,False,True
