svg,agent0_moves,agent1_moves,agent0_efficiency,agent1_efficiency,any_deadlock,both_deadlock,potential_collision,yielding_pattern
exp5_JAL-GT-size6-d0.25-map0.svg,3,16,1.333,0.0,False,False,False,True
exp5_JAL-GT-size6-d0.25-map1.svg,2,16,1.0,0.0,False,False,False,True
exp5_JAL-GT-size6-d0.25-map2.svg,2,16,1.0,0.125,False,False,False,True
