epoch,collective_reward_mean,collective_reward_std,td_error_mean,individual_reward_agent0_mean,individual_reward_agent1_mean
0,-2.9999999999999996,0.0,4.647146572502276,-1.4999999999999998,-1.4999999999999998
1,-2.9999999999999996,0.0,6.763177414759042,-1.4999999999999998,-1.4999999999999998
2,-2.9999999999999996,0.0,6.880817752178847,-1.4999999999999998,-1.4999999999999998
3,-2.8859999999999997,0.34199999999999986,7.223248573663116,-1.4999999999999998,-1.3859999999999997
4,-2.546,0.7544030752853541,7.196472286144998,-1.3859999999999997,-1.16
5,-2.4319999999999995,0.9178758085928616,6.258414287653492,-1.4999999999999998,-0.9319999999999998
6,-2.546,0.7544030752853541,6.401215697050151,-1.4999999999999998,-1.0459999999999998
7,-2.4299999999999997,0.5699999999999997,6.591438383263721,-1.4999999999999998,-0.9299999999999997
8,-1.9779999999999998,1.1840760110736133,7.024111158152576,-1.386,-0.5919999999999999
9,-1.9780000000000002,1.068698273602049,7.2890131267892215,-1.2719999999999998,-0.7059999999999998
10,-1.8619999999999994,1.1380140596671027,7.337306224016776,-1.386,-0.47599999999999987
11,-1.746,0.6139087880133334,7.087361990025533,-1.158,-0.5879999999999999
12,-1.748,0.7954470441204743,6.892894369731756,-1.2719999999999998,-0.4759999999999998
13,-1.52,0.8885943956609221,7.6226244853576475,-1.386,-0.13399999999999984
14,-1.406,1.0413472043463696,6.696437865315133,-1.386,-0.01999999999999984
15,-1.522,0.7256142225728489,7.190802478551118,-1.4999999999999998,-0.021999999999999863
16,-1.5179999999999998,0.7299561630673447,7.317611625627771,-1.386,-0.13199999999999987
17,-1.518,0.7299561630673447,7.227145331128779,-1.386,-0.13199999999999987
18,-1.178,0.9085130709021196,7.078527963443723,-1.386,0.2080000000000001
19,-1.0630000000000002,0.8887074884347492,7.506723761521306,-1.273,0.2100000000000001
20,-0.9480000000000002,0.8530978841844585,7.041891530518329,-1.158,0.21000000000000005
21,-0.9519999999999997,1.1120863275843293,7.799492016146677,-1.158,0.2060000000000001
22,-0.7239999999999999,1.13802636173333,7.669631736097948,-1.158,0.43400000000000016
23,-0.9479999999999998,0.9938289591272734,6.99708073803084,-1.2719999999999998,0.3240000000000001
24,-0.613,1.0667150509859697,7.009516654794612,-1.162,0.5490000000000002
25,-0.6170000000000001,0.9303553084709087,7.840542776805828,-1.2719999999999998,0.6550000000000001
26,-0.952,0.9883804935347519,7.795433575327229,-1.386,0.43400000000000005
27,-0.952,0.9883804935347519,7.807770561822662,-1.386,0.43400000000000005
28,-0.724,0.8831217356627568,7.815385794451402,-1.2719999999999998,0.5480000000000002
29,-0.72,0.509823498869952,8.354488527093464,-1.386,0.6660000000000001
30,-0.834,0.3419999999999999,7.579578599088299,-1.4999999999999998,0.6660000000000001
31,-0.26700000000000007,0.5548161857768751,7.650368740290695,-1.047,0.7800000000000001
32,-0.4960000000000001,0.4480892768188054,8.292783337005243,-1.386,0.89
33,-0.72,0.509823498869952,7.93302157935458,-1.386,0.6660000000000001
34,-0.834,0.3419999999999999,7.53489476615178,-1.4999999999999998,0.6660000000000001
35,-0.6100000000000001,0.6073055244273676,8.506166273153287,-1.386,0.7760000000000002
36,-0.27,0.7508395301261116,7.989416890251488,-1.0459999999999998,0.7760000000000002
37,-0.273,0.7481717717209064,8.22319113522594,-1.1589999999999998,0.8860000000000001
38,-0.49700000000000005,0.6774075582690231,8.622849678069386,-1.273,0.7760000000000002
39,-0.38400000000000006,0.5155230353728144,8.575806176508905,-1.1599999999999997,0.7760000000000002
40,-0.1630000000000001,0.7462043955914491,7.855483570213191,-1.1599999999999997,0.9970000000000001
41,-0.04700000000000011,0.7466465027039234,8.352769970585662,-0.8229999999999998,0.7760000000000002
42,-0.27100000000000013,0.7514313009184539,7.851299238814223,-1.049,0.7780000000000002
43,0.18399999999999989,0.8469852419021242,8.20942298327198,-0.707,0.891
44,0.6379999999999999,0.8451248428486763,9.083330175489255,-0.25199999999999995,0.89
45,0.5250000000000001,0.9384162189561731,8.334122694884174,-0.479,1.004
46,0.5220000000000002,1.0682864784316988,9.491257131972569,-0.593,1.115
47,0.8559999999999999,1.0350381635476056,8.742620480967298,-0.3689999999999999,1.225
48,0.2939999999999999,0.9347106504154106,9.085715903895117,-0.706,1.0
49,0.518,0.9248545831642939,8.188653881307951,-0.5930000000000001,1.1109999999999998
