epoch,collective_reward_mean,collective_reward_std,td_error_mean,individual_reward_agent0_mean,individual_reward_agent1_mean
0,-2.9999999999999996,0.0,3.968588744678118,-1.4999999999999998,-1.4999999999999998
1,-2.9999999999999996,0.0,2.9817077578845024,-1.4999999999999998,-1.4999999999999998
2,-0.75,0.0,2.979813679587882,-1.4999999999999998,0.75
3,-1.87,0.0,2.9555166498332848,-1.4999999999999998,-0.37000000000000005
4,-1.8900000000000001,0.0,2.957271215802616,-0.3900000000000001,-1.4999999999999998
5,-1.8800000000000001,0.0,2.946020749944079,-0.38,-1.4999999999999998
6,-2.9999999999999996,0.0,2.949878785407357,-1.4999999999999998,-1.4999999999999998
7,-1.8900000000000001,0.0,3.813142026395781,-0.3900000000000001,-1.4999999999999998
8,-2.9999999999999996,0.0,3.8040179796575204,-1.4999999999999998,-1.4999999999999998
9,-2.9999999999999996,0.0,4.003832595745026,-1.4999999999999998,-1.4999999999999998
10,-2.9999999999999996,0.0,4.045676264223664,-1.4999999999999998,-1.4999999999999998
11,0.3499999999999997,0.0,2.886337417361549,-1.4999999999999998,1.8500000000000005
12,-0.73,0.0,3.750193371255158,-1.4999999999999998,0.7699999999999998
13,-2.9999999999999996,0.0,2.854311711505971,-1.4999999999999998,-1.4999999999999998
14,1.4999999999999996,0.0,4.7251237549085445,0.7300000000000004,0.7699999999999998
15,-1.8900000000000001,0.0,4.860999791371231,-0.3900000000000001,-1.4999999999999998
16,1.4400000000000004,0.0,4.87205077460199,0.74,0.6999999999999998
17,0.2999999999999999,0.0,3.8866112910811257,-0.3900000000000001,0.6899999999999997
18,0.3499999999999995,0.0,6.701725014985131,1.8500000000000005,-1.4999999999999998
19,0.3399999999999997,0.0,7.870138306997518,1.8400000000000003,-1.4999999999999998
20,1.4299999999999995,0.0,7.2098295054608705,2.93,-1.4999999999999998
21,3.7200000000000006,0.0,7.94640168344325,2.9500000000000006,0.7699999999999998
22,-0.8,0.0,6.51830727189599,0.6999999999999998,-1.4999999999999998
23,2.57,0.0,8.378455305073743,2.9400000000000004,-0.37000000000000005
24,0.3299999999999999,0.0,7.382520732084716,1.83,-1.4999999999999998
25,0.3000000000000001,0.0,8.325053850787938,1.8000000000000003,-1.4999999999999998
26,0.3299999999999999,0.0,6.646530784639366,1.83,-1.4999999999999998
27,2.3899999999999997,0.0,8.134128782267727,3.89,-1.4999999999999998
28,0.26999999999999985,0.0,8.883098739504058,1.77,-1.4999999999999998
29,3.58,0.0,9.783257124602056,5.08,-1.4999999999999998
30,3.62,0.0,11.649437537182365,4.02,-0.4
31,6.84,0.0,11.114288104270376,5.09,1.75
32,5.73,0.0,8.433142592899724,3.98,1.75
33,5.73,0.0,12.259692526415698,3.98,1.75
34,9.08,0.0,13.090765630570964,5.1,3.98
35,9.08,0.0,16.223767359072458,5.1,3.98
36,9.08,0.0,15.706251199188195,5.1,3.98
37,9.07,0.0,15.174001193530113,5.09,3.98
38,9.07,0.0,19.61354007085295,5.09,3.98
39,9.07,0.0,16.50243974363631,5.09,3.98
40,9.1,0.0,17.861899912613573,5.09,4.01
41,9.1,0.0,16.177945193323716,5.09,4.01
42,9.1,0.0,16.78442815790808,5.09,4.01
43,9.1,0.0,18.064325656263193,5.09,4.01
44,9.1,0.0,17.4912886050894,5.09,4.01
45,9.1,0.0,20.64716771405307,5.09,4.01
46,9.1,0.0,19.6883538173689,5.09,4.01
47,9.1,0.0,18.748387096228008,5.09,4.01
48,9.1,0.0,22.74067660421569,5.09,4.01
49,9.1,0.0,23.759426334726243,5.09,4.01
50,9.1,0.0,21.006081786406146,5.09,4.01
51,9.1,0.0,22.375790354731574,5.09,4.01
52,9.1,0.0,22.195130397832965,5.09,4.01
53,9.1,0.0,22.68034843939241,5.09,4.01
54,9.1,0.0,19.702051827530063,5.09,4.01
55,9.1,0.0,23.530826313416792,5.09,4.01
56,9.1,0.0,23.016202582599455,5.09,4.01
57,9.1,0.0,23.22392193389891,5.09,4.01
58,9.1,0.0,22.998508993208066,5.09,4.01
59,9.1,0.0,22.823691521611156,5.09,4.01
60,9.1,0.0,24.85157201265403,5.09,4.01
61,9.1,0.0,22.78579606246152,5.09,4.01
62,9.1,0.0,23.421547035353825,5.09,4.01
63,9.1,0.0,22.78400693300275,5.09,4.01
64,9.1,0.0,24.646154433154067,5.09,4.01
65,9.1,0.0,24.084258992215293,5.09,4.01
66,9.1,0.0,25.599508312625233,5.09,4.01
67,9.1,0.0,26.799406726349424,5.09,4.01
68,9.1,0.0,26.355088336126826,5.09,4.01
69,9.1,0.0,31.13554405073964,5.09,4.01
70,9.1,0.0,29.138830562293236,5.09,4.01
71,9.1,0.0,27.979270704061726,5.09,4.01
72,9.1,0.0,27.605373791525764,5.09,4.01
73,9.1,0.0,27.499948990564377,5.09,4.01
74,9.1,0.0,26.74669947533878,5.09,4.01
75,9.1,0.0,28.209597882851572,5.09,4.01
76,9.1,0.0,28.197078107160596,5.09,4.01
77,9.1,0.0,26.7549114750946,5.09,4.01
78,9.1,0.0,28.78182127652285,5.09,4.01
79,9.1,0.0,27.30938419095375,5.09,4.01
80,9.1,0.0,24.843640271113795,5.09,4.01
81,9.1,0.0,27.20273950355565,5.09,4.01
82,9.1,0.0,25.905289830952086,5.09,4.01
83,9.1,0.0,25.01403010217716,5.09,4.01
84,9.1,0.0,24.338305447888384,5.09,4.01
85,9.1,0.0,26.745421724203403,5.09,4.01
86,9.1,0.0,28.517757841988725,5.09,4.01
87,9.1,0.0,25.038834615423767,5.09,4.01
88,9.1,0.0,25.323938637242534,5.09,4.01
89,9.1,0.0,30.82351692297359,5.09,4.01
90,9.1,0.0,30.115629130774895,5.09,4.01
91,9.1,0.0,26.92019218168356,5.09,4.01
92,9.1,0.0,27.40141018166983,5.09,4.01
93,9.1,0.0,27.176786951192405,5.09,4.01
94,9.1,0.0,29.535712553725155,5.09,4.01
95,9.1,0.0,26.311663080811513,5.09,4.01
96,9.1,0.0,30.46096330057239,5.09,4.01
97,9.1,0.0,29.57765167785341,5.09,4.01
98,9.1,0.0,29.082132437177236,5.09,4.01
99,9.1,0.0,34.937379959403785,5.09,4.01
100,9.1,0.0,30.962304038096526,5.09,4.01
101,9.1,0.0,29.85593941478541,5.09,4.01
102,9.1,0.0,36.724762527180836,5.09,4.01
103,9.1,0.0,29.063176388110247,5.09,4.01
104,9.1,0.0,28.585400503542218,5.09,4.01
105,9.1,0.0,28.781576676074728,5.09,4.01
106,9.1,0.0,33.55648249680758,5.09,4.01
107,9.1,0.0,31.450256692967784,5.09,4.01
108,9.1,0.0,30.194357157501873,5.09,4.01
109,9.1,0.0,30.89164152039236,5.09,4.01
110,9.1,0.0,26.906134343697516,5.09,4.01
111,9.1,0.0,30.262882103022804,5.09,4.01
112,9.1,0.0,27.799652515366923,5.09,4.01
113,9.1,0.0,28.05434124615099,5.09,4.01
114,9.1,0.0,30.28639235594472,5.09,4.01
115,9.1,0.0,30.936504801427546,5.09,4.01
116,9.1,0.0,32.08328865470533,5.09,4.01
117,9.1,0.0,30.962754535411438,5.09,4.01
118,9.1,0.0,31.205367214006618,5.09,4.01
119,9.1,0.0,26.584326830129523,5.09,4.01
120,9.1,0.0,31.560662421120036,5.09,4.01
121,9.1,0.0,26.51834974188869,5.09,4.01
122,9.1,0.0,28.57481539900346,5.09,4.01
123,9.1,0.0,27.551306014184178,5.09,4.01
124,9.1,0.0,24.37546478985491,5.09,4.01
125,9.1,0.0,25.19367111625575,5.09,4.01
126,9.1,0.0,30.07933400075228,5.09,4.01
127,9.1,0.0,23.791036443873406,5.09,4.01
128,9.1,0.0,27.544980376534735,5.09,4.01
129,9.1,0.0,26.776264609138337,5.09,4.01
130,9.1,0.0,26.558016475068076,5.09,4.01
131,9.1,0.0,27.38874847160841,5.09,4.01
132,9.1,0.0,27.06750090533383,5.09,4.01
133,9.1,0.0,27.328895194532578,5.09,4.01
134,9.1,0.0,26.536375001272667,5.09,4.01
135,9.1,0.0,28.89186390149667,5.09,4.01
136,9.1,0.0,25.678822542728973,5.09,4.01
137,9.1,0.0,28.745314318409072,5.09,4.01
138,9.1,0.0,26.823725875064135,5.09,4.01
139,9.1,0.0,28.68225057545436,5.09,4.01
140,9.1,0.0,30.323486268258456,5.09,4.01
141,9.1,0.0,29.733642441124672,5.09,4.01
142,9.1,0.0,24.627318855432605,5.09,4.01
143,9.1,0.0,30.066865892963296,5.09,4.01
144,9.1,0.0,28.143675464690435,5.09,4.01
