epoch,collective_reward_mean,collective_reward_std,td_error_mean,individual_reward_agent0_mean,individual_reward_agent1_mean
0,-2.427,0.7684666550996209,5.363570583078228,-1.2719999999999998,-1.1549999999999998
1,-1.7419999999999998,0.798871704343069,6.682824479843861,-0.8160000000000001,-0.9259999999999999
2,-1.6309999999999998,0.9959262020852748,5.76420708776185,-0.704,-0.9269999999999999
3,-1.4010000000000002,1.5469870716977565,7.2451503615293475,-0.59,-0.8109999999999997
4,-1.1729999999999998,1.2705357137837563,7.883289890501608,-0.47400000000000003,-0.699
5,-0.835,1.565747425353144,6.594932451306503,-0.4780000000000001,-0.35699999999999976
6,-0.833,1.7219120186583285,6.4284590485482,-0.13399999999999995,-0.6990000000000001
7,-0.26799999999999996,1.6912941790238623,7.003073415528469,-0.024999999999999956,-0.24299999999999997
8,-0.7169999999999999,1.5250249178292135,6.558172654518823,-0.4749999999999999,-0.2419999999999999
9,-0.8280000000000001,1.1917449391543475,8.892674473832843,-0.588,-0.23999999999999994
10,-0.03900000000000003,1.69610996105795,8.362973435352604,-0.1349999999999999,0.09600000000000006
11,0.534,2.117400292811919,7.398368257319841,0.2080000000000001,0.32600000000000023
12,0.4170000000000001,2.0281422533934843,7.242132429555625,0.20500000000000013,0.2120000000000002
13,0.7590000000000001,1.6880133293312585,7.654329888720558,0.5460000000000002,0.21300000000000016
14,1.2129999999999999,1.4414510050639946,8.779807503981091,1.004,0.20900000000000007
15,1.895,1.688154317590664,7.512792097763587,1.46,0.43500000000000016
16,2.226,2.039187092936791,9.035991547679282,1.568,0.6580000000000001
17,1.9970000000000003,2.3835186175064793,8.86230409853658,1.452,0.5450000000000002
18,1.8850000000000002,1.753135761999053,9.180980335357498,1.1149999999999998,0.7700000000000001
19,2.341,2.1423746171013134,8.784127333485953,1.6830000000000003,0.6580000000000001
20,2.674,2.2516669380705485,8.69123747025973,1.907,0.7670000000000001
21,2.7840000000000003,1.63878735655362,8.595990759908405,2.021,0.7630000000000001
