epoch,collective_reward_mean,collective_reward_std,td_error_mean,individual_reward_agent0_mean,individual_reward_agent1_mean
0,-2.9999999999999996,0.0,3.9664236733306124,-1.4999999999999998,-1.4999999999999998
1,-0.71,0.0,4.7937163651466435,-0.36,-0.35
2,0.42999999999999977,0.0,6.677937535816879,0.78,-0.35
3,0.42999999999999977,0.0,6.405895661214706,0.78,-0.35
4,0.42999999999999977,0.0,6.636222641592998,0.78,-0.35
5,0.42999999999999977,0.0,5.888967596599576,0.78,-0.35
6,2.68,0.0,5.811549830576009,3.03,-0.35
7,1.5699999999999998,0.0,6.824179551620898,1.92,-0.35
8,2.64,0.0,8.148437140188111,2.99,-0.35
9,1.5699999999999998,0.0,8.735089564794308,1.92,-0.35
10,3.81,0.0,6.01065274587844,4.16,-0.35
11,2.66,0.0,8.312160567174624,3.0100000000000007,-0.35
12,1.5699999999999998,0.0,6.890713769235767,1.92,-0.35
13,1.5699999999999998,0.0,8.398864327368491,1.92,-0.35
14,2.6799999999999997,0.0,8.659475875725732,3.03,-0.35
15,1.5699999999999998,0.0,8.570484222597056,1.92,-0.35
16,1.5699999999999998,0.0,7.381397165956104,1.92,-0.35
17,1.5699999999999998,0.0,9.447004575044911,1.92,-0.35
18,1.5699999999999998,0.0,8.44293788320507,1.92,-0.35
19,1.5699999999999998,0.0,7.755844633731224,1.92,-0.35
20,1.5699999999999998,0.0,8.943612409815515,1.92,-0.35
21,1.5699999999999998,0.0,9.640622569912464,1.92,-0.35
22,1.5699999999999998,0.0,8.295163591019445,1.92,-0.35
23,2.6799999999999997,0.0,8.428262566222308,3.03,-0.35
24,2.6300000000000003,0.0,7.888690240998155,1.92,0.71
25,2.6300000000000003,0.0,8.054101187628236,1.92,0.71
26,1.5699999999999998,0.0,7.489811430528664,1.92,-0.35
27,2.6799999999999997,0.0,8.255519371017185,3.03,-0.35
28,1.5699999999999998,0.0,9.614433692234464,1.92,-0.35
29,2.64,0.0,10.268939284880748,2.99,-0.35
30,2.64,0.0,9.091919181457543,2.99,-0.35
31,2.64,0.0,9.789828572367131,2.99,-0.35
32,2.64,0.0,10.120767129165017,2.99,-0.35
33,2.64,0.0,11.304501734717597,2.99,-0.35
34,2.64,0.0,8.509069025053218,2.99,-0.35
35,2.64,0.0,11.190992644653257,2.99,-0.35
36,2.64,0.0,8.28989597680376,2.99,-0.35
37,3.76,0.0,8.24344127587297,4.109999999999999,-0.35
38,2.64,0.0,9.457815697022932,2.99,-0.35
39,2.64,0.0,10.963224989552273,2.99,-0.35
40,2.64,0.0,11.27866402400797,2.99,-0.35
41,2.64,0.0,13.288621516202774,2.99,-0.35
42,2.64,0.0,8.33612288755793,2.99,-0.35
43,2.64,0.0,9.842008695464553,2.99,-0.35
44,2.64,0.0,8.772066938962455,2.99,-0.35
45,3.7300000000000004,0.0,10.328097370424668,2.99,0.74
46,2.64,0.0,11.11582284939168,2.99,-0.35
47,3.76,0.0,9.173340173442128,4.109999999999999,-0.35
48,3.76,0.0,11.031634919308473,4.109999999999999,-0.35
49,2.64,0.0,9.811641632260699,2.99,-0.35
50,2.64,0.0,10.902691447617187,2.99,-0.35
51,2.64,0.0,10.849923030124605,2.99,-0.35
52,2.64,0.0,8.123231949623213,2.99,-0.35
53,4.85,0.0,8.404024426675623,4.109999999999999,0.7399999999999999
54,2.64,0.0,10.965223527913135,2.99,-0.35
55,2.64,0.0,11.166513359062098,2.99,-0.35
56,2.64,0.0,8.938749858753464,2.99,-0.35
